user_id,item_id
0,2003 1422 1461 2593 128 3411 2275 2551 2145 3657
1,232 1246 350 3101 1686 1822 2476 2084 1459 1813
2,2311 2774 234 382 2428 1560 887 2424 778 1827
3,1560 487 989 1316 3013 3409 106 3272 2840 409
4,2814 2185 802 1545 1518 1160 3602 2338 394 810
5,2946 3161 3405 700 2217 2033 1174 764 2993 1092
6,1367 2363 802 1902 3363 1545 456 1517 1348 2653
7,76 672 2338 1287 3660 1191 331 3617 1681 2048
8,232 79 2345 3101 1700 3406 1822 2467 3600 1686
9,1045 135 3493 790 2128 279 289 94 1592 3023
10,1956 382 3367 1615 3253 1781 1560 2297 472 650
11,3597 2308 3067 771 462 216 1840 3535 677 2073
12,1651 3671 2686 1669 3079 941 260 474 2527 3179
13,279 2488 772 2290 1916 1568 2581 2366 2474 3317
14,3119 2639 3231 3415 1984 3168 2382 2132 2622 2370
15,3276 2512 458 763 2664 989 2646 3656 1316 986
16,295 2538 817 2379 467 1777 2215 872 1627 754
17,1746 944 785 293 3441 2468 2273 2129 793 1831
18,1044 3371 2338 493 2763 636 1936 609 2541 1868
19,3656 2345 3406 1459 79 1700 1246 1173 528 3276
20,561 3353 2308 3448 3402 598 1807 3535 2774 1371
21,1626 628 3434 2118 1534 2815 1582 299 2859 1054
22,605 2291 2947 2908 3537 1787 3432 956 94 793
23,2272 2932 1045 3215 1040 3113 598 2308 2768 2959
24,124 1011 1403 2534 384 305 6 652 279 1706
25,2548 831 3494 2460 41 3325 1065 1610 29 3085
26,2088 3353 2076 3448 3482 94 738 37 3247 2282
27,2129 2128 2757 1124 1809 2175 2980 1490 3482 650
28,502 3031 3333 2980 1640 2768 1546 189 2175 2273
29,2477 750 187 2230 3537 1760 1413 2009 395 2950
30,2969 3215 3228 1219 2959 2215 3362 1040 1283 2272
31,3298 2176 2763 3532 1725 1729 517 1848 617 59
32,1543 1223 732 3153 472 1279 3013 36 1316 1505
33,1316 3153 3272 2564 3409 472 707 1560 2617 1543
34,2745 3382 2127 1197 601 1401 2292 807 1300 1913
35,3473 2210 2603 2510 2067 1855 2732 1831 2784 2630
36,1316 2564 1223 3529 3013 1583 3272 1354 3153 2603
37,2924 977 1332 764 1951 827 2850 3025 1574 3214
38,2734 1704 1514 356 3454 1087 873 2499 1188 3545
39,2354 2311 2428 1427 1947 2424 887 1827 512 234
40,3311 2653 1868 107 1545 2980 2338 2519 1337 1424
41,1568 2488 1916 2337 463 279 568 3427 29 1045
42,1619 17 833 3007 2761 2285 1518 328 711 3194
43,1410 498 383 187 2710 3668 870 1293 3062 3655
44,3382 2603 601 569 2745 1223 2840 3013 1300 707
45,543 1078 1375 3049 2626 2501 169 3048 2602 2757
46,2492 481 20 328 2093 1465 1619 1518 17 2367
47,3173 1173 652 1475 2073 406 880 2236 2121 120
48,778 1633 857 1337 3253 312 801 382 3276 1868
49,69 2265 3529 1831 305 640 476 138 463 2054
50,2956 339 2874 220 1711 539 646 99 3592 1554
51,3119 2139 3231 3677 1984 465 2639 1319 2622 2382
52,874 2049 827 480 40 2593 2545 1824 2017 1094
53,28 829 3272 3537 1360 401 10 1331 2564 1548
54,2082 1462 3616 1527 213 1043 700 2354 680 128
55,2653 1545 312 1060 801 1337 107 1037 2338 1086
56,2664 3049 2988 1937 2676 1039 3180 2297 944 2626
57,237 3112 2115 214 201 577 1475 2121 205 1871
58,3427 1862 1619 2492 20 328 3191 1672 1465 1518
59,92 384 2265 3173 2011 1173 2557 147 935 2258
60,2088 1134 513 1592 790 3075 1083 2076 3264 3353
61,1825 3511 1423 1081 2050 1210 212 292 2481 2985
62,1855 2732 169 3286 1927 774 1849 3049 3332 1401
63,2145 890 1920 2125 2584 2340 3658 1067 563 1270
64,1562 3506 2730 232 1700 1246 1630 1251 2084 2467
65,2804 185 2420 700 1092 1836 1528 206 3185 1327
66,1429 3660 1191 2090 1259 2048 3460 313 3021 155
67,2817 2557 136 2931 1804 2676 454 2922 3219 2165
68,1300 160 472 2519 2335 333 620 2705 1868 1593
69,3206 3693 913 1392 1168 2900 1982 3280 768 1177
70,1068 814 3501 3464 121 3375 3209 491 2912 464
71,2088 3075 2 1688 3164 1585 2973 783 3337 2568
72,543 2602 1375 3049 1078 2067 2757 2501 1855 2626
73,1275 3374 151 3196 1322 1120 899 3648 2323 170
74,482 465 1470 2370 1781 2574 2622 3677 2382 3231
75,453 190 1351 382 1516 2960 3476 2099 1098 1832
76,3482 2006 2273 428 138 1831 3350 640 771 2606
77,37 3448 1807 2054 3353 2236 3402 2774 2457 3595
78,880 2973 1590 228 2110 2359 1668 2224 2580 2427
79,2082 1773 96 2354 353 3266 247 680 628 2125
80,79 2345 1246 1700 3101 1884 350 1686 452 2023
81,1709 485 1032 3061 2130 2687 3411 3483 1603 2418
82,2814 1545 2185 1902 3539 3035 2561 762 1868 2653
83,3049 2630 1855 1375 1001 2956 2501 2688 2297 1913
84,1174 743 2145 899 2259 2217 213 1885 1067 163
85,3694 1011 1102 2210 3269 3142 2732 1583 1057 3059
86,2272 474 3113 3213 2969 2662 1073 3282 3325 2458
87,1309 3438 3067 29 1184 1193 3597 621 3669 1678
88,922 1376 1102 2256 1379 2470 3059 2646 401 587
89,3272 3409 3013 1316 3153 2617 3562 2515 1475 1223
90,650 2311 2428 887 1427 2424 2354 2281 221 1947
91,1536 204 1070 59 2636 2587 1725 2063 760 3298
92,3248 2606 428 553 740 1168 913 1177 1912 3418
93,1246 1686 232 1086 570 3101 2345 1700 3406 584
94,462 1840 2073 2006 771 3116 1615 2308 3465 530
95,502 119 1640 398 2331 2468 3238 2768 3053 3408
96,650 2424 2311 887 1827 2428 2774 234 382 1560
97,1555 2376 295 2529 168 43 2215 2510 2090 2493
98,3231 2139 3119 1470 2622 3415 2933 2382 1887 465
99,3705 1001 2857 2956 1814 1374 539 1711 99 583
100,1832 2291 2960 453 984 2801 605 1491 382 2908
101,1193 3669 1678 1184 166 3306 3438 3067 1218 3036
102,2500 3253 2005 1781 878 304 857 183 1893 1165
103,3511 3191 2012 3077 728 3544 3700 1159 47 3410
104,1583 3022 1279 1505 36 3529 3423 2688 1543 3409
105,1561 1367 1503 1085 2854 952 3651 3439 91 3477
106,2980 293 2757 2468 398 3046 3238 1490 1746 2129
107,138 1668 69 2088 2073 2282 2054 406 2265 476
108,1828 1098 1351 3551 870 190 3364 2248 383 2091
109,1517 1272 2257 739 3425 801 1426 1839 2803 3341
110,494 2609 1859 3317 279 1205 1548 1177 2067 1511
111,1341 3474 3402 361 3448 37 3535 3579 2308 1840
112,3537 2510 1814 799 169 512 2960 2947 2956 2291
113,2862 1543 3269 3423 36 1505 3153 3456 1638 3013
114,2529 1355 450 1153 2231 3616 1823 49 2741 3454
115,1165 658 176 1353 1633 2769 1156 1705 3028 1124
116,1518 755 1621 3511 2132 16 3602 672 2780 1501
117,1510 3256 2068 186 3133 482 3677 2132 1470 43
118,2402 2281 1811 3583 2528 3198 2054 883 809 2509
119,1638 2862 741 3423 2258 3151 2612 1146 2798 1543
120,2773 2284 1725 2528 204 2596 1811 2636 2281 622
121,493 3063 1044 292 3050 3544 3670 2181 1830 3371
122,2643 2910 3474 188 1807 482 2622 3116 942 2306
123,400 579 1111 2781 2533 847 2414 3063 3210 1107
124,283 3597 1248 398 2980 1193 1814 3005 1184 1007
125,3311 1858 402 2519 1848 1216 1375 3335 333 1868
126,2801 2090 3021 2908 3657 2048 382 3465 1323 1770
127,2256 2210 2534 3694 2630 2502 1011 1164 169 922
128,772 2366 971 2488 763 3529 279 320 2033 2557
129,2602 3172 799 1753 3482 3350 584 2088 2980 183
130,652 1590 2265 1828 2474 2073 124 184 2224 1706
